,MMM-YY,Driver_ID,Age,Gender,City,Education_Level,Income,Dateofjoining,LastWorkingDate,Joining Designation,Grade,Total Business Value,Quarterly Rating,,Churn
0,1/1/2019,1,28,0,C23,2,57387,24/12/18,,1,1,2381060,2,,0
1,2/1/2019,1,28,0,C23,2,57387,24/12/18,,1,1,-665480,2,,0
2,3/1/2019,1,28,0,C23,2,57387,24/12/18,3/11/2019,1,1,0,2,,1
3,11/1/2020,2,31,0,C7,2,67016,11/6/2020,,2,2,0,1,,0
4,12/1/2020,2,31,0,C7,2,67016,11/6/2020,,2,2,0,1,,0
5,12/1/2019,4,43,0,C13,2,65603,12/7/2019,,2,2,0,1,,0
6,1/1/2020,4,43,0,C13,2,65603,12/7/2019,,2,2,0,1,,0
7,2/1/2020,4,43,0,C13,2,65603,12/7/2019,,2,2,0,1,,0
8,3/1/2020,4,43,0,C13,2,65603,12/7/2019,,2,2,350000,1,,0
9,4/1/2020,4,43,0,C13,2,65603,12/7/2019,27/04/20,2,2,0,1,,1
10,1/1/2019,5,29,0,C9,0,46368,1/9/2019,,1,1,0,1,,0
11,2/1/2019,5,29,0,C9,0,46368,1/9/2019,,1,1,120360,1,,0
12,3/1/2019,5,29,0,C9,0,46368,1/9/2019,3/7/2019,1,1,0,1,,1
13,8/1/2020,6,31,1,C11,1,78728,31/07/20,,3,3,0,1,,0
14,9/1/2020,6,31,1,C11,1,78728,31/07/20,,3,3,0,1,,0
15,10/1/2020,6,31,1,C11,1,78728,31/07/20,,3,3,0,2,,0
16,11/1/2020,6,31,1,C11,1,78728,31/07/20,,3,3,1265000,2,,0
17,12/1/2020,6,31,1,C11,1,78728,31/07/20,,3,3,0,2,,0
18,9/1/2020,8,34,0,C2,0,70656,19/09/20,,3,3,0,1,,0
19,10/1/2020,8,34,0,C2,0,70656,19/09/20,,3,3,0,1,,0
20,11/1/2020,8,34,0,C2,0,70656,19/09/20,15/11/20,3,3,0,1,,1
21,12/1/2020,11,28,1,C19,2,42172,12/7/2020,,1,1,0,1,,0
22,7/1/2019,12,35,0,C23,2,28116,29/06/19,,1,1,500000,4,,0
23,8/1/2019,12,35,0,C23,2,28116,29/06/19,,1,1,1707180,4,,0
24,9/1/2019,12,35,0,C23,2,28116,29/06/19,,1,1,400000,4,,0
25,10/1/2019,12,35,0,C23,2,28116,29/06/19,,1,1,0,1,,0
26,11/1/2019,12,35,0,C23,2,28116,29/06/19,,1,1,0,1,,0
27,12/1/2019,12,35,0,C23,2,28116,29/06/19,21/12/19,1,1,0,1,,1
28,1/1/2019,13,29,0,C19,2,119227,28/05/15,,1,4,250000,1,,0
29,2/1/2019,13,29,0,C19,2,119227,28/05/15,,1,4,1719680,1,,0
30,3/1/2019,13,29,0,C19,2,119227,28/05/15,,1,4,545240,1,,0
31,4/1/2019,13,29,0,C19,2,119227,28/05/15,,1,4,250000,2,,0
32,5/1/2019,13,29,0,C19,2,119227,28/05/15,,1,4,895510,2,,0
33,6/1/2019,13,29,0,C19,2,119227,28/05/15,,1,4,0,2,,0
34,7/1/2019,13,29,0,C19,2,119227,28/05/15,,1,4,350650,2,,0
35,8/1/2019,13,29,0,C19,2,119227,28/05/15,,1,4,708360,2,,0
36,9/1/2019,13,29,0,C19,2,119227,28/05/15,,1,4,1190290,2,,0
37,10/1/2019,13,29,0,C19,2,119227,28/05/15,,1,4,0,1,,0
38,11/1/2019,13,30,0,C19,2,119227,28/05/15,,1,4,200000,1,,0
39,12/1/2019,13,30,0,C19,2,119227,28/05/15,,1,4,300000,1,,0
40,1/1/2020,13,30,0,C19,2,119227,28/05/15,,1,4,151110,1,,0
41,2/1/2020,13,30,0,C19,2,119227,28/05/15,,1,4,200000,1,,0
42,3/1/2020,13,30,0,C19,2,119227,28/05/15,,1,4,1593590,1,,0
43,4/1/2020,13,30,0,C19,2,119227,28/05/15,,1,4,0,1,,0
44,5/1/2020,13,30,0,C19,2,119227,28/05/15,,1,4,400000,1,,0
45,6/1/2020,13,30,0,C19,2,119227,28/05/15,,1,4,258610,1,,0
46,7/1/2020,13,30,0,C19,2,119227,28/05/15,,1,4,150000,1,,0
47,8/1/2020,13,30,0,C19,2,119227,28/05/15,,1,4,500000,1,,0
48,9/1/2020,13,30,0,C19,2,119227,28/05/15,,1,4,200000,1,,0
49,10/1/2020,13,30,0,C19,2,119227,28/05/15,,1,4,350000,1,,0
50,11/1/2020,13,31,0,C19,2,119227,28/05/15,25/11/20,1,4,0,1,,1
51,10/1/2020,14,39,1,C26,0,19734,16/10/20,,3,3,0,1,,0
52,11/1/2020,14,39,1,C26,0,19734,16/10/20,,3,3,0,1,,0
53,12/1/2020,14,39,1,C26,0,19734,16/10/20,,3,3,0,1,,0
54,1/1/2019,16,30,1,C23,0,52963,30/11/18,,2,2,346800,1,,0
55,2/1/2019,16,30,1,C23,0,52963,30/11/18,22/02/19,2,2,0,1,,1
56,1/1/2019,17,42,0,C20,2,51099,3/6/2018,,1,1,100000,2,,0
57,2/1/2019,17,42,0,C20,2,51099,3/6/2018,,1,1,0,2,,0
58,3/1/2019,17,42,0,C20,2,51099,3/6/2018,,1,1,674990,2,,0
59,4/1/2019,17,42,0,C20,2,51099,3/6/2018,,1,1,242650,1,,0
60,5/1/2019,17,42,0,C20,2,51099,3/6/2018,,1,1,0,1,,0
61,6/1/2019,17,42,0,C20,2,51099,3/6/2018,,1,1,0,1,,0
62,7/1/2019,17,43,0,C20,2,51099,3/6/2018,20/07/19,1,1,0,1,,1
63,1/1/2019,18,27,1,C17,1,31631,1/9/2019,,1,1,0,1,,0
64,2/1/2019,18,27,1,C17,1,31631,1/9/2019,,1,1,0,1,,0
65,3/1/2019,18,27,1,C17,1,31631,1/9/2019,,1,1,0,1,,0
66,4/1/2019,18,27,1,C17,1,31631,1/9/2019,,1,1,0,1,,0
67,5/1/2019,18,27,1,C17,1,31631,1/9/2019,30/04/19,1,1,0,1,,1
68,10/1/2019,20,26,1,C19,0,40342,25/10/19,,3,3,0,1,,0
69,11/1/2019,20,26,1,C19,0,40342,25/10/19,,3,3,0,1,,0
70,12/1/2019,20,26,1,C19,0,40342,25/10/19,,3,3,0,1,,0
71,1/1/2020,20,26,1,C19,0,40342,25/10/19,,3,3,0,1,,0
72,2/1/2020,20,,1,C19,0,40342,25/10/19,,3,3,0,1,,0
73,3/1/2020,20,26,1,C19,0,40342,25/10/19,3/1/2020,3,3,0,1,,1
74,1/1/2019,21,33,1,C29,1,22755,5/12/2018,,1,1,948560,4,,0
75,2/1/2019,21,33,1,C29,1,22755,5/12/2018,,1,1,551740,4,,0
76,3/1/2019,21,33,1,C29,1,22755,5/12/2018,,1,1,3295370,4,,0
77,4/1/2019,21,33,1,C29,1,22755,5/12/2018,,1,1,0,2,,0
78,5/1/2019,21,33,1,C29,1,22755,5/12/2018,,1,1,116350,2,,0
79,6/1/2019,21,33,1,C29,1,22755,5/12/2018,,1,1,533260,2,,0
80,7/1/2019,21,33,1,C29,1,22755,5/12/2018,,1,1,150450,2,,0
81,8/1/2019,21,33,1,C29,1,22755,5/12/2018,,1,1,0,2,,0
82,9/1/2019,21,33,1,C29,1,22755,5/12/2018,,1,1,520980,2,,0
83,10/1/2019,21,33,1,C29,1,22755,5/12/2018,,1,1,150600,2,,0
84,11/1/2019,21,34,1,C29,1,22755,5/12/2018,,1,1,0,2,,0
85,12/1/2019,21,34,1,C29,1,22755,5/12/2018,,1,1,263690,2,,0
86,1/1/2020,21,34,1,C29,1,22755,5/12/2018,,1,1,150170,1,,0
87,2/1/2020,21,34,1,C29,1,22755,5/12/2018,17/02/20,1,1,281380,1,,1
88,1/1/2019,22,40,0,C10,2,31224,25/05/18,,1,1,216170,2,,0
89,2/1/2019,22,40,0,C10,2,31224,25/05/18,,1,1,404600,2,,0
90,3/1/2019,22,40,0,C10,2,31224,25/05/18,,1,1,819960,2,,0
91,4/1/2019,22,40,0,C10,2,31224,25/05/18,,1,1,601680,4,,0
92,5/1/2019,22,40,0,C10,2,31224,25/05/18,,1,1,635700,4,,0
93,6/1/2019,22,40,0,C10,2,31224,25/05/18,,1,1,121590,4,,0
94,7/1/2019,22,40,0,C10,2,31224,25/05/18,,1,1,653680,4,,0
95,8/1/2019,22,40,0,C10,2,31224,25/05/18,,1,1,1120560,4,,0
96,9/1/2019,22,40,0,C10,2,31224,25/05/18,,1,1,696920,4,,0
97,10/1/2019,22,,0,C10,2,31224,25/05/18,,1,1,200000,3,,0
98,11/1/2019,22,41,0,C10,2,31224,25/05/18,,1,1,306410,3,,0
99,12/1/2019,22,41,0,C10,2,31224,25/05/18,,1,1,499480,3,,0
100,1/1/2020,22,41,0,C10,2,31224,25/05/18,,1,1,500510,2,,0
101,2/1/2020,22,41,0,C10,2,31224,25/05/18,,1,1,658430,2,,0
102,3/1/2020,22,41,0,C10,2,31224,25/05/18,,1,1,103800,2,,0
103,4/1/2020,22,41,0,C10,2,31224,25/05/18,26/04/20,1,1,0,1,,1
104,1/1/2019,24,30,0,C24,2,76308,25/05/18,,1,2,106460,2,,0
105,2/1/2019,24,31,0,C24,2,76308,25/05/18,,1,2,401310,2,,0
106,3/1/2019,24,31,0,C24,2,76308,25/05/18,,1,2,1103240,2,,0
107,4/1/2019,24,31,0,C24,2,76308,25/05/18,,1,2,312720,2,,0
108,5/1/2019,24,31,0,C24,2,76308,25/05/18,,1,2,128730,2,,0
109,6/1/2019,24,31,0,C24,2,76308,25/05/18,,1,2,97220,2,,0
110,7/1/2019,24,,0,C24,2,76308,25/05/18,,1,2,203240,3,,0
111,8/1/2019,24,31,0,C24,2,76308,25/05/18,,1,2,639720,3,,0
112,9/1/2019,24,31,0,C24,2,76308,25/05/18,,1,2,765920,3,,0
113,10/1/2019,24,31,0,C24,2,76308,25/05/18,27/10/19,1,2,343160,2,,1
114,1/1/2019,25,29,0,C24,1,102077,30/10/17,,1,3,2552300,3,,0
115,2/1/2019,25,29,0,C24,1,102077,30/10/17,,1,3,2143680,3,,0
116,3/1/2019,25,29,0,C24,1,102077,30/10/17,,1,3,2925260,3,,0
117,4/1/2019,25,29,0,C24,1,102077,30/10/17,,1,3,1030790,4,,0
118,5/1/2019,25,29,0,C24,1,102077,30/10/17,,1,3,1833580,4,,0
119,6/1/2019,25,29,0,C24,1,102077,30/10/17,,1,3,999610,4,,0
120,7/1/2019,25,29,0,C24,1,102077,30/10/17,,1,3,1046670,4,,0
121,8/1/2019,25,29,0,C24,1,102077,30/10/17,,1,3,677050,4,,0
122,9/1/2019,25,29,0,C24,1,102077,30/10/17,,1,3,1934570,4,,0
123,10/1/2019,25,29,0,C24,1,102077,30/10/17,,1,3,1297810,4,,0
124,11/1/2019,25,30,0,C24,1,102077,30/10/17,,1,3,1474610,4,,0
125,12/1/2019,25,30,0,C24,1,102077,30/10/17,,1,3,574040,4,,0
126,1/1/2020,25,30,0,C24,1,102077,30/10/17,,1,3,2109420,4,,0
127,2/1/2020,25,30,0,C24,1,102077,30/10/17,,1,3,2973000,4,,0
128,3/1/2020,25,30,0,C24,1,102077,30/10/17,,1,3,3053510,4,,0
129,4/1/2020,25,30,0,C24,1,102077,30/10/17,,1,3,-414250,3,,0
130,5/1/2020,25,30,0,C24,1,102077,30/10/17,,1,3,350000,3,,0
131,6/1/2020,25,30,0,C24,1,102077,30/10/17,,1,3,1219340,3,,0
132,7/1/2020,25,30,0,C24,1,102077,30/10/17,,1,3,650000,4,,0
133,8/1/2020,25,30,0,C24,1,102077,30/10/17,,1,3,1512060,4,,0
134,9/1/2020,25,30,0,C24,1,102077,30/10/17,,1,3,1368060,4,,0
135,10/1/2020,25,30,0,C24,1,102077,30/10/17,,1,3,1346140,4,,0
136,11/1/2020,25,31,0,C24,1,102077,30/10/17,,1,3,1680680,4,,0
137,12/1/2020,25,31,0,C24,1,102077,30/10/17,,1,3,2013180,4,,0
138,1/1/2019,26,41,0,C14,2,121529,5/7/2018,,1,3,243110,4,,0
139,2/1/2019,26,41,0,C14,2,121529,5/7/2018,,1,3,646330,4,,0
140,3/1/2019,26,41,0,C14,2,121529,5/7/2018,,1,3,17651940,4,,0
141,4/1/2019,26,41,0,C14,2,121529,5/7/2018,,1,3,242510,4,,0
142,5/1/2019,26,41,0,C14,2,121529,5/7/2018,,1,3,1098080,4,,0
143,6/1/2019,26,41,0,C14,2,121529,5/7/2018,,1,3,1212720,4,,0
144,7/1/2019,26,41,0,C14,2,121529,5/7/2018,,1,3,2695910,4,,0
145,8/1/2019,26,41,0,C14,2,121529,5/7/2018,,1,3,494710,4,,0
146,9/1/2019,26,42,0,C14,2,121529,5/7/2018,,1,3,986540,4,,0
147,10/1/2019,26,42,0,C14,2,121529,5/7/2018,,1,3,9950710,4,,0
148,11/1/2019,26,42,0,C14,2,121529,5/7/2018,,1,3,13097320,4,,0
149,12/1/2019,26,42,0,C14,2,121529,5/7/2018,,1,3,1086370,4,,0
150,1/1/2020,26,42,0,C14,2,121529,5/7/2018,,1,3,732410,2,,0
151,2/1/2020,26,42,0,C14,2,121529,5/7/2018,,1,3,1511840,2,,0
152,3/1/2020,26,42,0,C14,2,132577,5/7/2018,,1,4,9226690,4,,0
153,4/1/2020,26,42,0,C14,2,132577,5/7/2018,,1,4,1940050,2,,0
154,5/1/2020,26,42,0,C14,2,132577,5/7/2018,,1,4,970030,2,,0
155,6/1/2020,26,42,0,C14,2,132577,5/7/2018,,1,4,0,2,,0
156,7/1/2020,26,42,0,C14,2,132577,5/7/2018,,1,4,153590,2,,0
157,8/1/2020,26,42,0,C14,2,132577,5/7/2018,,1,4,1710410,2,,0
158,9/1/2020,26,43,0,C14,2,132577,5/7/2018,,1,4,440550,2,,0
159,10/1/2020,26,43,0,C14,2,132577,5/7/2018,,1,4,744590,2,,0
160,11/1/2020,26,43,0,C14,2,132577,5/7/2018,,1,4,1578270,2,,0
161,12/1/2020,26,43,0,C14,2,132577,5/7/2018,,1,4,1453220,2,,0
162,1/1/2019,29,30,0,C13,2,30312,20/05/18,,1,1,231840,2,,0
163,2/1/2019,29,30,0,C13,2,30312,20/05/18,,1,1,278930,2,,0
164,3/1/2019,29,30,0,C13,2,30312,20/05/18,,1,1,650990,2,,0
165,4/1/2019,29,30,0,C13,2,30312,20/05/18,,1,1,111410,1,,0
166,5/1/2019,29,30,0,C13,2,30312,20/05/18,23/05/19,1,1,0,1,,1
167,10/1/2019,30,31,0,C6,1,69457,10/3/2019,,3,3,0,1,,0
168,11/1/2019,30,31,0,C6,1,69457,10/3/2019,,3,3,0,1,,0
169,12/1/2019,30,31,0,C6,1,69457,10/3/2019,29/11/19,3,3,0,1,,1
170,7/1/2020,31,32,1,C28,2,65189,7/4/2020,,3,3,0,1,,0
171,8/1/2020,31,32,1,C28,2,65189,7/4/2020,,3,3,0,1,,0
172,9/1/2020,31,32,1,C28,2,65189,7/4/2020,,3,3,0,1,,0
173,10/1/2020,31,32,1,C28,2,65189,7/4/2020,,3,3,0,2,,0
174,11/1/2020,31,32,1,C28,2,65189,7/4/2020,,3,3,0,2,,0
175,12/1/2020,31,32,1,C28,2,65189,7/4/2020,,3,3,950940,2,,0
176,8/1/2020,34,28,1,C14,1,65813,31/07/20,,2,2,285830,2,,0
177,9/1/2020,34,28,1,C14,1,65813,31/07/20,,2,2,190180,2,,0
178,10/1/2020,34,28,1,C14,1,65813,31/07/20,,2,2,0,1,,0
179,11/1/2020,34,28,1,C14,1,65813,31/07/20,14/11/20,2,2,0,1,,1
180,3/1/2020,35,32,0,C5,1,68070,3/7/2020,,3,3,300000,1,,0
181,4/1/2020,35,32,0,C5,1,68070,3/7/2020,,3,3,0,1,,0
182,5/1/2020,35,32,0,C5,1,68070,3/7/2020,5/5/2020,3,3,0,1,,1
183,7/1/2019,36,40,1,C18,1,32865,7/1/2019,,2,2,0,2,,0
184,8/1/2019,36,40,1,C18,1,32865,7/1/2019,,2,2,0,2,,0
185,9/1/2019,36,40,1,C18,1,32865,7/1/2019,,2,2,722390,2,,0
186,10/1/2019,36,40,1,C18,1,32865,7/1/2019,,2,2,821020,2,,0
187,11/1/2019,36,40,1,C18,1,32865,7/1/2019,,2,2,-19350,2,,0
188,12/1/2019,36,40,1,C18,1,32865,7/1/2019,,2,2,145400,2,,0
189,1/1/2020,36,40,1,C18,1,32865,7/1/2019,,2,2,0,1,,0
190,2/1/2020,36,40,1,C18,1,32865,7/1/2019,,2,2,400000,1,,0
191,3/1/2020,36,40,1,C18,1,32865,7/1/2019,,2,2,-50000,1,,0
